Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
3,0.2,12.96972099939982,4.664083197321129,1.0,768.6666666666666
3,0.3,2.446589152018229,4.708892489651268,1.0,357.6666666666667
3,0.4,0.9855182965596517,4.768564114171833,1.0,216.0
3,0.5,0.5192437171936035,4.819522907197575,0.9933333333333333,142.66666666666666
3,0.6,0.3402438163757324,4.88131119421157,0.9666666666666667,103.33333333333333
3,0.8,0.17450261116027832,5.218990628280256,0.5933333333333333,34.333333333333336
5,0.2,11.148399909337362,4.682984882928583,1.0,747.3333333333334
5,0.3,2.2990376949310303,4.708277583446216,1.0,359.0
5,0.4,0.9663515090942383,4.783752688622633,1.0,220.66666666666666
5,0.5,0.4298277695973714,4.89455545517356,1.0,140.66666666666666
5,0.6,0.2834947109222412,4.975057617853183,0.96,102.66666666666667
5,0.8,0.14069318771362305,4.655601311675468,0.39999999999999997,21.333333333333332
15,0.2,7.552415768305461,4.68926524631332,1.0,694.0
15,0.3,1.4693140188852947,4.717249455019428,1.0,328.6666666666667
15,0.4,0.5321464538574219,4.854137275044495,1.0,191.66666666666666
15,0.5,0.2653787136077881,4.925297360749923,1.0,128.33333333333334
15,0.6,0.16134937604268393,5.096538565901727,0.9733333333333333,86.33333333333333
15,0.8,0.0738980770111084,5.263883688208377,0.6133333333333333,30.0
20,0.2,6.705139080683391,4.671198598704907,1.0,672.0
20,0.3,1.2006889184315999,4.734048643161993,1.0,311.3333333333333
20,0.4,0.4388401508331299,4.789711500714539,1.0,180.66666666666666
20,0.5,0.22754581769307455,4.965686358938531,0.98,122.33333333333333
20,0.6,0.14691925048828125,4.852535296115939,0.96,92.0
20,0.8,0.057576497395833336,5.490155853942649,0.4266666666666667,17.666666666666668
25,0.2,5.734538714090983,4.694569209116011,1.0,641.0
25,0.3,1.093894322713216,4.7368777524601375,1.0,303.3333333333333
25,0.4,0.41786710421244305,4.842843320107696,1.0,183.0
25,0.5,0.19401470820109049,4.947537132560426,0.98,113.0
25,0.6,0.12968858083089194,5.195256754973235,0.94,85.66666666666667
25,0.8,0.05095012982686361,5.883871987667531,0.5266666666666667,26.0
30,0.2,5.42869766553243,4.690584768694538,1.0,636.6666666666666
30,0.3,0.8975000381469727,4.746952339832486,1.0,286.6666666666667
30,0.4,0.3501412073771159,4.852059823318173,0.9933333333333333,168.66666666666666
30,0.5,0.16726231575012207,4.893137417103967,0.9733333333333333,110.0
30,0.6,0.1064911683400472,5.217098117850515,0.9666666666666667,81.33333333333333
30,0.8,0.04082798957824707,4.272086766883611,0.26,13.333333333333334
40,0.2,4.012396891911824,4.693411271560047,1.0,574.6666666666666
40,0.3,0.7182402610778809,4.712641320271727,0.9933333333333333,258.0
40,0.4,0.26483527819315594,4.848854614437108,0.9933333333333333,151.0
40,0.5,0.1469259262084961,4.948662531834211,0.9666666666666667,106.0
40,0.6,0.09363373120625813,5.01565951442444,0.94,77.0
40,0.8,0.03364952405293783,4.984755100217211,0.3333333333333333,13.0
45,0.2,3.5324633916219077,4.689892524172809,1.0,548.3333333333334
45,0.3,0.6237816015879313,4.775871964845964,1.0,247.33333333333334
45,0.4,0.2668628692626953,4.846055077696286,1.0,156.0
45,0.5,0.12864208221435547,4.983187115838289,0.9733333333333333,103.33333333333333
45,0.6,0.07524442672729492,5.0916658932834915,0.84,63.0
45,0.8,0.030018409093221027,5.32570478565772,0.4066666666666667,15.666666666666666
