Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
3,0.2,18.400752067565918,8.048438015963635,1.0,919.3333333333334
3,0.3,3.246130625406901,8.054048653751176,1.0,439.6666666666667
3,0.4,1.3482397397359211,8.021857830026086,1.0,274.0
3,0.5,0.6334939002990723,8.01400376324361,1.0,179.0
3,0.6,0.39968474706013996,9.782389546783861,0.9866666666666667,133.66666666666666
3,0.8,0.18785492579142252,6.1924855676073625,0.21333333333333335,43.666666666666664
5,0.2,18.349782784779865,8.031933671422586,1.0,922.0
5,0.3,3.4827755292256675,8.05204601021867,1.0,456.6666666666667
5,0.4,1.2183890342712402,8.02729200954215,1.0,268.3333333333333
5,0.5,0.5948630968729655,8.003410296201976,1.0,181.33333333333334
5,0.6,0.3959170977274577,8.432450515574601,0.96,136.0
5,0.8,0.15975022315979004,7.45010108595046,0.2733333333333334,30.666666666666668
15,0.2,16.38445742925008,8.068594507647601,1.0,889.0
15,0.3,2.5684929688771567,8.082174142578996,1.0,411.0
15,0.4,0.956082264582316,8.014868113830024,1.0,248.33333333333334
15,0.5,0.4401512145996094,8.229844745925723,1.0,164.33333333333334
15,0.6,0.27221020062764484,7.8289870476662555,0.9466666666666667,120.0
15,0.8,0.13193845748901367,5.9417867991533555,0.10666666666666667,26.0
20,0.2,13.970798333485922,8.0571460310541,1.0,849.3333333333334
20,0.3,2.3379340171813965,8.065364874215074,1.0,397.6666666666667
20,0.4,0.7290249665578207,8.028805276835008,1.0,219.66666666666666
20,0.5,0.41021060943603516,8.315724439906527,0.9933333333333333,158.66666666666666
20,0.6,0.23403827349344888,8.784583158232607,0.9333333333333332,114.33333333333333
20,0.8,0.10904359817504883,6.6899047546925985,0.20666666666666667,29.666666666666668
25,0.2,13.691038608551025,8.031350325335088,1.0,846.3333333333334
25,0.3,2.1401610374450684,8.037231740243545,1.0,383.6666666666667
25,0.4,0.692488431930542,8.01928158912368,1.0,217.33333333333334
25,0.5,0.3574090003967285,8.289231122015337,1.0,153.0
25,0.6,0.22467382748921713,9.360023934888684,0.8666666666666667,107.33333333333333
25,0.8,0.11800440152486165,7.248584945016751,0.2733333333333334,30.333333333333332
30,0.2,12.477493842442831,8.030936734275917,1.0,828.6666666666666
30,0.3,1.8252326647440593,8.109104815206376,1.0,359.0
30,0.4,0.6479693253835043,8.048378740359096,1.0,211.0
30,0.5,0.31561557451883954,8.105852494205783,1.0,145.33333333333334
30,0.6,0.22141051292419434,8.248676395792863,0.96,116.0
30,0.8,0.08930404980977376,4.555604474065692,0.08666666666666667,22.0
40,0.2,11.184619426727295,8.066219988888044,1.0,786.6666666666666
40,0.3,1.4240554173787434,8.043015484292448,1.0,320.6666666666667
40,0.4,0.4506539503733317,8.034626414148953,1.0,181.33333333333334
40,0.5,0.23615225156148276,8.461177152368919,0.8933333333333332,116.33333333333333
40,0.6,0.1632827123006185,8.9417171337075,0.7000000000000001,85.0
40,0.8,0.08106112480163574,7.847397985919598,0.41333333333333333,36.0
45,0.2,9.26018246014913,8.0728622421666,1.0,732.3333333333334
45,0.3,1.3147900104522705,8.073134794885998,1.0,307.6666666666667
45,0.4,0.564115842183431,8.015188034013455,1.0,203.66666666666666
45,0.5,0.2514032522837321,7.9642897513319,0.9666666666666667,126.33333333333333
45,0.6,0.17303363482157388,8.564169887514948,0.8866666666666667,103.0
45,0.8,0.08164604504903157,9.074002402226139,0.3133333333333333,33.0
