Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
1,0.2,8.046886841456095,18.323750069501237,1.0,809.6666666666666
1,0.25,3.391756852467855,18.402450206109613,1.0,516.6666666666666
1,0.3,2.306525389353434,18.389033581040046,1.0,402.0
1,0.35,1.65989351272583,18.35791420724393,1.0,320.6666666666667
1,0.4,1.325117588043213,17.128755032903076,0.8266666666666667,238.0
3,0.2,6.713197549184163,18.42757939629632,1.0,777.3333333333334
3,0.25,2.7452945709228516,18.44569092183817,1.0,494.6666666666667
3,0.3,1.8541853427886963,18.315727548749738,1.0,392.0
3,0.35,1.3558845520019531,18.46359401801803,1.0,320.6666666666667
3,0.4,1.0355244477589924,18.428196338512414,1.0,269.3333333333333
6,0.2,5.959995667139689,18.32127793406745,1.0,748.6666666666666
6,0.25,2.665072043736776,18.362026752451506,1.0,500.6666666666667
6,0.3,1.7531453768412273,18.355437220905127,1.0,394.0
6,0.35,1.2542606194814045,18.45871034465599,1.0,324.6666666666667
6,0.4,0.9021252791086832,18.387795938238927,1.0,262.6666666666667
9,0.2,4.795047601064046,18.395051470030666,1.0,684.6666666666666
9,0.25,2.4851672649383545,18.401275679199042,1.0,488.3333333333333
9,0.3,1.5507985750834148,18.445969336263364,1.0,377.3333333333333
9,0.35,1.1001577377319336,18.49392166037224,1.0,307.3333333333333
9,0.4,0.7911718686421713,18.39138804775873,1.0,248.66666666666666
12,0.2,5.4852085908253985,18.49186541830985,1.0,725.6666666666666
12,0.25,2.364086627960205,18.45850518937825,1.0,477.6666666666667
12,0.3,1.3485194047292073,18.417123442098713,1.0,355.0
12,0.35,1.0061909357706706,18.3497774286581,1.0,293.3333333333333
12,0.4,0.7488847573598226,18.298987346960843,0.9933333333333333,241.66666666666666
15,0.2,4.827204545338948,18.561477932337116,1.0,696.6666666666666
15,0.25,2.2626699606577554,18.3966779360886,1.0,472.3333333333333
15,0.3,1.332961082458496,18.480865795984876,1.0,350.6666666666667
15,0.35,0.9034738540649414,18.510601875680077,1.0,280.3333333333333
15,0.4,0.6864345868428549,18.46261289443983,1.0,232.0
