Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
3,0.2,6.81075644493103,18.042805367714948,1.0,779.0
3,0.4,1.053184986114502,18.20691548861889,0.8533333333333334,252.66666666666666
3,0.6,0.3634609381357829,10.395105616046493,0.18666666666666668,54.666666666666664
3,0.8,0.17472052574157715,,0.0,11.333333333333334
5,0.2,6.162561813990275,18.06896188077115,1.0,752.6666666666666
5,0.4,0.921712319056193,18.083883129922555,1.0,263.0
5,0.6,0.33154066403706867,11.377096789702984,0.18666666666666668,60.666666666666664
5,0.8,0.12297097841898601,6.586605200039317,0.02666666666666667,17.333333333333332
15,0.2,5.0524492263793945,17.97378591585762,1.0,711.3333333333334
15,0.4,0.697773297627767,18.26581343515916,1.0,235.66666666666666
15,0.6,0.2379446029663086,12.417977558588017,0.26,60.0
15,0.8,0.08940736452738444,4.32807829081375,0.04,10.666666666666666
20,0.2,4.531368573506673,18.122368974535956,1.0,682.6666666666666
20,0.4,0.548281192779541,17.915482457352425,0.9733333333333333,210.0
20,0.6,0.216476043065389,12.090966701245707,0.14666666666666667,41.666666666666664
20,0.8,0.0693052609761556,3.0842891961118744,0.013333333333333334,8.0
25,0.2,3.7501612504323325,18.053170302149404,1.0,627.0
25,0.4,0.5118988355000814,18.09913678207447,1.0,204.0
25,0.6,0.20742233594258627,5.450910038944589,0.08,35.666666666666664
25,0.8,0.0630647341410319,4.000735306613785,0.013333333333333334,9.333333333333334
30,0.2,3.84968892733256,18.065215961298787,1.0,643.0
30,0.4,0.42772428194681805,18.09138806416387,1.0,190.66666666666666
30,0.6,0.18623828887939453,13.01600796692769,0.32666666666666666,65.33333333333333
30,0.8,0.04157439867655436,3.1661588398627836,0.006666666666666667,7.0
40,0.2,2.575810273488363,18.06398059080781,1.0,539.6666666666666
40,0.4,0.33950312932332355,17.581790818687075,0.9133333333333332,170.0
40,0.6,0.1315014362335205,5.329754192404897,0.04,24.333333333333332
40,0.8,0.032985846201578774,,0.0,5.666666666666667
45,0.2,2.1634933153788247,18.17837943402306,1.0,503.0
45,0.4,0.4223206837972005,18.088375834255103,1.0,191.66666666666666
45,0.6,0.15109006563822427,8.295239625606124,0.11333333333333334,28.0
45,0.8,0.03885642687479655,,0.0,9.0
