Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
3,0.2,12.967313369115194,4.664083197321129,1.0,768.6666666666666
3,0.4,0.9871983528137207,4.769728233365328,1.0,217.33333333333334
3,0.6,0.34551413853963214,4.928449307028147,0.9666666666666667,107.66666666666667
3,0.8,0.1816228230794271,5.144745150118573,0.5733333333333334,26.333333333333332
5,0.2,11.016758680343628,4.674649221950325,1.0,740.3333333333334
5,0.4,0.8749014536539713,4.786758931879288,1.0,214.33333333333334
5,0.6,0.2711451053619385,4.980697162281894,0.9866666666666667,103.33333333333333
5,0.8,0.14179499944051108,5.892490436493774,0.7399999999999999,34.333333333333336
15,0.2,7.748589833577474,4.675137878715496,1.0,693.0
15,0.4,0.5284279982248942,4.760450730684777,1.0,189.0
15,0.6,0.164152463277181,5.2293937432617055,0.9533333333333333,90.0
15,0.8,0.07597748438517253,4.8008474850968605,0.35333333333333333,17.666666666666668
20,0.2,6.667560974756877,4.681184888623811,1.0,667.3333333333334
20,0.4,0.45705151557922363,4.822954445827266,1.0,183.0
20,0.6,0.12962961196899414,4.940809928905931,0.9466666666666667,84.33333333333333
20,0.8,0.058008035024007164,5.007165416718058,0.31333333333333335,15.0
25,0.2,5.865310986836751,4.681837707820526,1.0,646.6666666666666
25,0.4,0.40292978286743164,4.77998842353906,0.9866666666666667,175.66666666666666
25,0.6,0.12224634488423665,5.129696483140684,0.9533333333333333,81.66666666666667
25,0.8,0.048743645350138344,4.600513603851862,0.3333333333333333,12.333333333333334
30,0.2,5.355995734532674,4.704082481538095,1.0,630.3333333333334
30,0.4,0.3327459494272868,4.769185040458033,0.9933333333333333,163.66666666666666
30,0.6,0.11450600624084473,5.143414999653245,0.96,88.33333333333333
30,0.8,0.04538337389628092,5.031088629910815,0.54,27.666666666666668
40,0.2,3.9346174399058023,4.690223814032557,1.0,567.6666666666666
40,0.4,0.27154914538065594,4.892443677476678,0.9933333333333333,153.0
40,0.6,0.08006048202514648,5.0556023769447025,0.8666666666666666,69.33333333333333
40,0.8,0.03472900390625,5.342776534312967,0.3666666666666667,11.666666666666666
45,0.2,3.439039627710978,4.683753296911283,1.0,543.0
45,0.4,0.2498917579650879,4.795635077335909,0.9866666666666667,151.0
45,0.6,0.08364804585774739,5.596944629690153,0.9266666666666666,76.0
45,0.8,0.0360098679860433,5.7287071655846535,0.7133333333333333,28.666666666666668
