Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
1,0.2,7.138739983240764,19.503170549567834,1.0,781.3333333333334
1,0.4,1.276895523071289,19.48832840679568,1.0,270.0
1,0.6,0.5216763814290365,7.681421552490153,0.09333333333333334,42.333333333333336
1,0.8,0.29377222061157227,3.473018064695463,0.02,12.0
1,1.0,0.1585212548573812,,0.0,3.3333333333333335
3,0.2,6.573342243830363,19.494165997887464,1.0,776.6666666666666
3,0.4,1.0344771544138591,19.44951062806415,1.0,274.3333333333333
3,0.6,0.39486877123514813,8.43509270853357,0.11333333333333333,44.0
3,0.8,0.20025968551635742,5.299338948599197,0.02666666666666667,13.666666666666666
3,1.0,0.09201614061991374,,0.0,4.333333333333333
6,0.2,5.266296943028768,19.642877522835185,1.0,712.6666666666666
6,0.4,0.8566790421803793,19.395685435545808,1.0,258.0
6,0.6,0.3405618667602539,13.31237779376479,0.2866666666666667,70.0
6,0.8,0.14164837201436362,6.81243964214247,0.02666666666666667,14.0
6,1.0,0.06520493825276692,2.8164091416262114,0.006666666666666667,7.666666666666667
9,0.2,5.357302347819011,19.477480201601946,1.0,725.6666666666666
9,0.4,0.7918127377827963,19.474685685710938,1.0,252.0
9,0.6,0.2881796360015869,12.167987282557746,0.18666666666666668,52.0
9,0.8,0.12114310264587402,8.137676521548512,0.02666666666666667,15.666666666666666
9,1.0,0.0630942980448405,8.932580058986753,0.006666666666666667,6.0
12,0.2,4.64872932434082,19.418637539298288,1.0,687.0
12,0.4,0.7056669394175211,19.51270769035408,0.9933333333333333,236.33333333333334
12,0.6,0.26487310727437335,13.490918067625277,0.24666666666666667,60.666666666666664
12,0.8,0.10966149965922038,5.423139009855161,0.02666666666666667,13.333333333333334
12,1.0,0.054601430892944336,,0.0,4.333333333333333
15,0.2,4.550992012023926,19.511200202681,1.0,683.3333333333334
15,0.4,0.7011977036794027,19.572186575262677,1.0,239.0
15,0.6,0.2238927682240804,15.374463966442784,0.3666666666666667,73.0
15,0.8,0.07277822494506836,4.672166333482845,0.02666666666666667,11.666666666666666
15,1.0,0.037946621576944985,6.906817247756692,0.013333333333333334,6.666666666666667
