Angle Step (deg),Min Radius,Avg Gen Time (s),Avg Path Length,Success Rate,Avg Nodes
3,0.2,18.420658191045124,8.048438015963635,1.0,919.3333333333334
3,0.4,1.3125060399373372,8.114794119648462,1.0,271.3333333333333
3,0.6,0.4099944432576497,8.361277456298163,0.9666666666666667,131.33333333333334
3,0.8,0.18349742889404297,8.196746981049705,0.4266666666666667,38.666666666666664
5,0.2,19.93902309735616,8.085329951056037,1.0,940.0
5,0.4,1.2934633096059163,8.052683849760193,1.0,277.0
5,0.6,0.3817175229390462,8.37510850352451,0.9666666666666667,134.66666666666666
5,0.8,0.17839622497558594,6.902427233163455,0.3133333333333333,44.666666666666664
15,0.2,15.79025157292684,8.056175769619434,1.0,879.0
15,0.4,0.9398342768351237,8.032799150586664,1.0,246.33333333333334
15,0.6,0.2841074466705322,8.579390504202056,0.8000000000000002,105.66666666666667
15,0.8,0.13033684094746908,7.211533850911405,0.2866666666666667,36.0
20,0.2,14.171573003133139,8.066115598415877,1.0,851.3333333333334
20,0.4,0.7772881189982096,8.10544433933854,1.0,227.0
20,0.6,0.24993427594502768,9.34580608251718,1.0,121.0
20,0.8,0.11507487297058105,7.062167779164996,0.31333333333333335,43.0
25,0.2,14.007517019907633,8.098364852695108,1.0,849.3333333333334
25,0.4,0.6916738351186117,8.027795694779527,1.0,215.0
25,0.6,0.2317650318145752,8.367647072208785,0.82,102.66666666666667
25,0.8,0.12246791521708171,5.540345285606016,0.15333333333333332,29.666666666666668
30,0.2,13.034879843393961,8.113805012001734,1.0,837.6666666666666
30,0.4,0.6684083938598633,8.05098980552147,1.0,216.33333333333334
30,0.6,0.19983196258544922,8.357362308195478,0.7200000000000001,92.66666666666667
30,0.8,0.0923772652943929,8.469139742697447,0.4000000000000001,40.666666666666664
40,0.2,9.047865390777588,8.074923318044414,1.0,725.6666666666666
40,0.4,0.46080756187438965,8.15836501811497,0.9933333333333333,180.33333333333334
40,0.6,0.15298247337341309,9.47507934305119,0.82,91.33333333333333
40,0.8,0.07915433247884114,9.267399580249707,0.19333333333333333,27.0
45,0.2,8.102705160776773,8.051349348803953,1.0,695.3333333333334
45,0.4,0.545552651087443,8.19439018021046,1.0,200.0
45,0.6,0.19413145383199057,8.84829421634324,0.8733333333333334,101.33333333333333
45,0.8,0.08319393793741862,8.735254646608006,0.4200000000000001,40.666666666666664
