timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,node_utilization
2026-02-27 17:12:01,delta,random,100,100,0.0578,0.0283,5.3423,197,60.0,0.0575
2026-02-27 17:12:03,delta,random,200,100,0.2275,0.042,3.6944,882,100.0,0.0412
2026-02-27 17:12:05,delta,random,300,100,0.4873,0.0787,2.8474,1917,100.0,0.0436
2026-02-27 17:12:10,delta,random,500,100,1.3364,0.1447,3.86,5329,100.0,0.024
2026-02-27 17:12:17,delta,random,800,100,2.5448,0.1787,4.172,9925,100.0,0.0144
2026-02-27 17:12:24,delta,random,1000,100,2.5462,0.1785,4.172,9925,100.0,0.0144
2026-02-27 17:12:31,delta,random,1500,100,2.5734,0.1793,4.172,9925,100.0,0.0144
2026-02-27 17:12:38,delta,random,2000,100,2.5501,0.1792,4.172,9925,100.0,0.0144
2026-02-27 17:12:39,beam,random,100,100,0.0963,0.0254,4.1923,255,40.0,0.0448
2026-02-27 17:12:40,beam,random,200,100,0.3475,0.0442,5.0404,651,80.0,0.0345
2026-02-27 17:12:43,beam,random,300,100,1.0196,0.0639,4.0958,1336,80.0,0.0225
2026-02-27 17:12:46,beam,random,500,100,2.0763,0.0728,4.1438,1899,80.0,0.0233
2026-02-27 17:12:50,beam,random,800,100,2.0751,0.073,4.1438,1899,80.0,0.0233
2026-02-27 17:12:54,beam,random,1000,100,2.0772,0.073,4.1438,1899,80.0,0.0233
2026-02-27 17:12:58,beam,random,1500,100,2.0756,0.0728,4.1438,1899,80.0,0.0233
2026-02-27 17:13:01,beam,random,2000,100,2.076,0.0729,4.1438,1899,80.0,0.0233
2026-02-27 17:13:02,spars,random,100,100,0.1741,0.0248,4.9923,66,80.0,0.0462
2026-02-27 17:13:03,spars,random,200,100,0.7277,0.0291,5.1917,116,100.0,0.1319
2026-02-27 17:13:06,spars,random,300,100,1.4237,0.0368,4.659,166,80.0,0.0263
2026-02-27 17:13:10,spars,random,500,100,3.2271,0.046,5.7341,261,100.0,0.0261
2026-02-27 17:13:19,spars,random,800,100,7.0193,0.0594,5.4893,419,100.0,0.0379
2026-02-27 17:13:31,spars,random,1000,100,10.6765,0.0784,4.9288,546,100.0,0.0156
2026-02-27 17:13:55,spars,random,1500,100,21.9299,0.093,4.3737,832,100.0,0.0116
2026-02-27 17:14:34,spars,random,2000,100,36.3039,0.1139,2.7513,1102,100.0,0.0099
2026-02-27 17:14:35,gsrm,random,100,100,0.6059,0.0186,4.5479,1170,100.0,0.0733
2026-02-27 17:14:37,gsrm,random,200,100,0.9579,0.0217,4.6641,1403,100.0,0.0609
2026-02-27 17:14:39,gsrm,random,300,100,1.3087,0.0236,4.2273,1583,100.0,0.0568
2026-02-27 17:14:42,gsrm,random,500,100,1.9405,0.0232,4.2607,1564,100.0,0.0574
2026-02-27 17:14:45,gsrm,random,800,100,2.9203,0.0224,4.2906,1511,100.0,0.0602
2026-02-27 17:14:49,gsrm,random,1000,100,3.5187,0.0225,4.2149,1487,100.0,0.062
2026-02-27 17:14:55,gsrm,random,1500,100,5.0843,0.0226,4.2703,1494,100.0,0.059
2026-02-27 17:15:02,gsrm,random,2000,100,6.6769,0.023,4.3106,1492,100.0,0.0588
2026-02-27 17:15:02,delta,maze,100,100,0.0387,0.0,0.0,18,0.0,0.0
2026-02-27 17:15:03,delta,maze,200,100,0.1399,0.0,0.0,201,0.0,0.0
2026-02-27 17:15:05,delta,maze,300,100,0.3087,0.0871,18.1372,906,80.0,0.041
2026-02-27 17:15:09,delta,maze,500,100,0.8055,0.1488,23.6411,2592,100.0,0.0357
2026-02-27 17:15:14,delta,maze,800,100,0.806,0.1488,23.6411,2592,100.0,0.0357
2026-02-27 17:15:18,delta,maze,1000,100,0.8051,0.1488,23.6411,2592,100.0,0.0357
2026-02-27 17:15:22,delta,maze,1500,100,0.8068,0.1492,23.6411,2592,100.0,0.0357
2026-02-27 17:15:26,delta,maze,2000,100,0.804,0.1484,23.6411,2592,100.0,0.0357
2026-02-27 17:15:27,beam,maze,100,100,0.066,0.0,0.0,41,0.0,0.0
2026-02-27 17:15:27,beam,maze,200,100,0.2702,0.0,0.0,204,0.0,0.0417
2026-02-27 17:15:30,beam,maze,300,100,0.6406,0.0728,21.6561,820,100.0,0.0253
2026-02-27 17:15:33,beam,maze,500,100,0.9587,0.0731,21.625,1027,100.0,0.025
2026-02-27 17:15:35,beam,maze,800,100,0.9577,0.0731,21.625,1027,100.0,0.025
2026-02-27 17:15:38,beam,maze,1000,100,0.9575,0.073,21.625,1027,100.0,0.025
2026-02-27 17:15:41,beam,maze,1500,100,0.9936,0.0725,21.625,1027,100.0,0.025
2026-02-27 17:15:44,beam,maze,2000,100,0.9463,0.0725,21.625,1027,100.0,0.025
2026-02-27 17:15:44,spars,maze,100,100,0.0212,0.0,0.0,12,0.0,0.0
2026-02-27 17:15:45,spars,maze,200,100,0.0724,0.0,0.0,37,0.0,0.0
2026-02-27 17:15:45,spars,maze,300,100,0.1324,0.0,0.0,92,0.0,0.0069
2026-02-27 17:15:47,spars,maze,500,100,0.3176,0.0,0.0,148,0.0,0.0
2026-02-27 17:15:49,spars,maze,800,100,0.7243,0.0669,8.7648,234,40.0,0.0047
2026-02-27 17:15:51,spars,maze,1000,100,1.0378,0.0722,14.5697,268,60.0,0.0
2026-02-27 17:15:54,spars,maze,1500,100,1.8908,0.0587,9.2679,341,80.0,0.0082
2026-02-27 17:15:59,spars,maze,2000,100,2.7904,0.0832,18.1101,413,100.0,0.0038
2026-02-27 17:16:01,gsrm,maze,100,100,0.8719,0.031,15.8304,1610,100.0,0.1211
2026-02-27 17:16:03,gsrm,maze,200,100,1.444,0.0365,15.5363,2072,100.0,0.0968
2026-02-27 17:16:06,gsrm,maze,300,100,1.9858,0.0379,15.5753,2175,100.0,0.0984
