timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,spatial_coverage
2026-02-28 15:27:31,spars,indoor,800,100,1.6676,0.0474,10.5061,192,100.0,0.070126
2026-02-28 15:27:35,spars,indoor,1000,100,2.2903,0.0557,9.513,233,100.0,0.062933
2026-02-28 15:27:37,gsrm,indoor,100,100,0.8439,0.0499,9.1686,2468,100.0,0.007284
2026-02-28 15:27:39,gsrm,indoor,200,100,1.3642,0.0603,9.1046,3112,100.0,0.005888
2026-02-28 15:27:43,gsrm,indoor,300,100,1.7535,0.0636,9.0487,3282,100.0,0.005621
2026-02-28 15:27:46,gsrm,indoor,500,100,2.4438,0.0638,13.4154,3132,100.0,0.006971
2026-02-28 15:27:51,gsrm,indoor,800,100,3.5513,0.0608,9.1858,3039,100.0,0.005943
2026-02-28 15:27:57,gsrm,indoor,1000,100,4.3625,0.0606,9.0474,3029,100.0,0.005996
2026-02-28 15:27:58,delta,four_rooms,100,100,0.0949,0.025,7.4591,347,100.0,0.085444
2026-02-28 15:27:59,delta,four_rooms,200,100,0.0963,0.0253,7.4591,347,100.0,0.085444
2026-02-28 15:28:00,delta,four_rooms,300,100,0.0966,0.0253,7.4591,347,100.0,0.085444
2026-02-28 15:28:00,delta,four_rooms,500,100,0.0957,0.0247,7.4591,347,100.0,0.085444
2026-02-28 15:28:01,delta,four_rooms,800,100,0.0939,0.0247,7.4591,347,100.0,0.085444
2026-02-28 15:28:02,delta,four_rooms,1000,100,0.0951,0.0251,7.4591,347,100.0,0.085444
2026-02-28 15:28:03,beam,four_rooms,100,100,0.1175,0.0192,9.8259,182,100.0,0.101987
2026-02-28 15:28:03,beam,four_rooms,200,100,0.1174,0.0191,9.8259,182,100.0,0.101987
2026-02-28 15:28:04,beam,four_rooms,300,100,0.118,0.0191,9.8259,182,100.0,0.101987
2026-02-28 15:28:04,beam,four_rooms,500,100,0.1177,0.0191,9.8259,182,100.0,0.101987
2026-02-28 15:28:05,beam,four_rooms,800,100,0.1187,0.0192,9.8259,182,100.0,0.101987
2026-02-28 15:28:05,beam,four_rooms,1000,100,0.1177,0.0194,9.8259,182,100.0,0.101987
2026-02-28 15:28:05,spars,four_rooms,100,100,0.0609,0.0,0.0,19,0.0,0.245768
2026-02-28 15:28:06,spars,four_rooms,200,100,0.174,0.0124,7.2029,30,100.0,0.222601
2026-02-28 15:28:07,spars,four_rooms,300,100,0.315,0.0182,8.2804,55,100.0,0.148177
2026-02-28 15:28:08,spars,four_rooms,500,100,0.69,0.0146,8.157,71,100.0,0.15444
2026-02-28 15:28:09,spars,four_rooms,800,100,1.326,0.0186,5.924,84,100.0,0.181764
2026-02-28 15:28:12,spars,four_rooms,1000,100,1.7655,0.0207,10.718,92,100.0,0.154347
2026-02-28 15:28:12,gsrm,four_rooms,100,100,0.5338,0.0041,2.4767,222,100.0,0.028702
2026-02-28 15:28:13,gsrm,four_rooms,200,100,0.9163,0.0048,2.5316,288,100.0,0.024708
2026-02-28 15:28:15,gsrm,four_rooms,300,100,1.2524,0.0043,2.5275,268,100.0,0.026088
2026-02-28 15:28:17,gsrm,four_rooms,500,100,1.9869,0.0042,2.583,255,100.0,0.02631
2026-02-28 15:28:20,gsrm,four_rooms,800,100,3.0961,0.0041,2.5766,259,100.0,0.025784
2026-02-28 15:28:24,gsrm,four_rooms,1000,100,3.8098,0.0044,2.5473,273,100.0,0.024952
