timestamp,algorithm,environment,num_samples,seed,generation_time,search_time,path_length,edges_count,path_success_rate,node_utilization
2026-02-27 15:41:37,delta,indoor,100,100,0.035,0.0,0.0,34,0.0,0.0
2026-02-27 15:41:38,delta,indoor,200,100,0.1272,0.0429,3.903,346,80.0,0.0
2026-02-27 15:41:41,delta,indoor,300,100,0.2872,0.1187,9.507,1513,100.0,0.0267
2026-02-27 15:41:46,delta,indoor,500,100,0.704,0.1856,9.5124,3678,100.0,0.0171
2026-02-27 15:41:52,delta,indoor,800,100,0.7032,0.1854,9.5124,3678,100.0,0.0171
2026-02-27 15:41:57,delta,indoor,1000,100,0.7023,0.1857,9.5124,3678,100.0,0.0171
2026-02-27 15:42:02,delta,indoor,1500,100,0.703,0.185,9.5124,3678,100.0,0.0171
2026-02-27 15:42:07,delta,indoor,2000,100,0.703,0.1856,9.5124,3678,100.0,0.0171
2026-02-27 15:42:08,beam,indoor,100,100,0.1231,0.0353,10.2078,282,100.0,0.0682
2026-02-27 15:42:10,beam,indoor,200,100,0.5512,0.0356,8.2342,879,100.0,0.082
2026-02-27 15:42:12,beam,indoor,300,100,0.8338,0.0344,8.2787,1260,100.0,0.0862
2026-02-27 15:42:13,beam,indoor,500,100,0.8312,0.0343,8.2787,1260,100.0,0.0862
2026-02-27 15:42:15,beam,indoor,800,100,0.8336,0.0343,8.2787,1260,100.0,0.0862
2026-02-27 15:42:17,beam,indoor,1000,100,0.8314,0.0343,8.2787,1260,100.0,0.0862
2026-02-27 15:42:18,beam,indoor,1500,100,0.834,0.0343,8.2787,1260,100.0,0.0862
2026-02-27 15:42:20,beam,indoor,2000,100,0.8316,0.0343,8.2787,1260,100.0,0.0862
2026-02-27 15:42:21,spars,indoor,100,100,0.0595,0.0,0.0,16,0.0,0.0
2026-02-27 15:42:21,spars,indoor,200,100,0.2117,0.0,0.0,59,0.0,0.0
2026-02-27 15:42:23,spars,indoor,300,100,0.4078,0.035,2.1682,98,40.0,0.0114
2026-02-27 15:42:25,spars,indoor,500,100,0.988,0.0489,8.431,145,100.0,0.0297
2026-02-27 15:42:28,spars,indoor,800,100,1.968,0.0558,10.5061,192,100.0,0.0336
2026-02-27 15:42:32,spars,indoor,1000,100,2.6915,0.0653,9.513,233,100.0,0.0078
2026-02-27 15:42:39,spars,indoor,1500,100,4.8028,0.0723,10.1649,308,100.0,0.0201
2026-02-27 15:42:48,spars,indoor,2000,100,7.1623,0.0746,8.5725,387,100.0,0.0414
2026-02-27 15:42:50,gsrm,indoor,100,100,1.0486,0.0597,9.1686,2468,100.0,0.0416
2026-02-27 15:42:53,gsrm,indoor,200,100,1.7612,0.0727,9.1046,3112,100.0,0.038
2026-02-27 15:42:57,gsrm,indoor,300,100,2.2991,0.0772,9.0487,3282,100.0,0.0392
2026-02-27 15:43:02,gsrm,indoor,500,100,3.327,0.0769,13.4154,3132,100.0,0.0439
2026-02-27 15:43:09,gsrm,indoor,800,100,4.9237,0.0723,9.1858,3039,100.0,0.0392
2026-02-27 15:43:17,gsrm,indoor,1000,100,5.9393,0.072,9.0474,3029,100.0,0.0409
2026-02-27 15:43:27,gsrm,indoor,1500,100,8.5282,0.0717,9.0438,3013,100.0,0.0412
2026-02-27 15:43:39,gsrm,indoor,2000,100,11.2447,0.0703,9.1096,2956,100.0,0.0434
