timestamp,algorithm,environment,seed,path_length,search_time,start,goal,success
2026-02-14T11:22:15.827889,delta,random,43,2.689437350934697,0.20044589042663574,"(0.9204365311182316, 4.872532314235851)","(2.6171124464891182, 6.873099927588782)",True
2026-02-14T11:22:15.924748,delta,random,43,2.993506516767968,0.08558082580566406,"(0.2321105953948832, 5.869986370242263)","(3.159600147448047, 6.416376949029332)",True
2026-02-14T11:22:16.074554,delta,random,43,4.035401340095042,0.13861322402954102,"(6.933189127193602, 1.7682319670749704)","(3.2399155843780774, 2.5287717681456696)",True
2026-02-14T11:22:16.231121,delta,random,43,2.335433973899021,0.14521026611328125,"(3.083015315161105, 7.635905000869322)","(3.566066886717751, 5.357797213774462)",True
2026-02-14T11:22:16.317064,delta,random,43,-1,0.07460927963256836,"(0.6600003975772433, 7.176788639852274)","(2.3840280055101015, 2.0984385807710515)",False
2026-02-14T11:22:16.471056,delta,random,43,4.758672121220036,0.15379595756530762,"(3.8047709360580253, 5.090989420572181)","(0.8321515988381032, 1.447316762063208)",True
2026-02-14T11:22:16.661217,delta,random,43,2.4664111116700047,0.17866110801696777,"(7.624321767893933, 3.2956238670908693)","(6.920136964857454, 5.377418235809409)",True
2026-02-14T11:22:16.814104,delta,random,43,2.2129591269503313,0.1415410041809082,"(5.03028636705729, 2.204470213191617)","(7.173978157926901, 1.6551309707469217)",True
2026-02-14T11:22:16.974200,delta,random,43,2.5152030581485643,0.14854741096496582,"(5.815903935743908, 3.193575087232598)","(5.361161317619055, 5.6377248630443315)",True
2026-02-14T11:22:17.116136,delta,random,43,4.4045776354582475,0.1303701400756836,"(4.876478970072366, 4.320275713453248)","(1.6486548073064142, 1.5932918129816152)",True
2026-02-14T11:22:17.265533,delta,random,43,1.9856358775108043,0.13787031173706055,"(1.1558270273826299, 3.231653335843756)","(2.482156214756718, 1.947184130247698)",True
2026-02-14T11:22:17.419873,delta,random,43,4.053641654394459,0.14312481880187988,"(4.704832341267009, 1.9627460237068783)","(5.982164894342905, 5.761173182833783)",True
2026-02-14T11:22:17.524263,delta,random,43,4.833838419413889,0.09322142601013184,"(7.549139425474329, 4.026717063142255)","(4.755593494547446, 7.723268653418106)",True
2026-02-14T11:22:17.664700,delta,random,43,7.413085425747289,0.12921619415283203,"(0.5097645465385163, 4.5569951915444715)","(7.634555865568307, 5.918910558427793)",True
2026-02-14T11:22:17.793735,delta,random,43,4.6979713679592665,0.11766648292541504,"(7.087195964382987, 2.040370242678372)","(3.5465015578318724, 4.935495806567161)",True
2026-02-14T11:22:17.975690,delta,random,43,6.688814272100919,0.16339778900146484,"(0.3576352194859753, 2.493019754473206)","(6.0163174909282, 5.723992692224518)",True
2026-02-14T11:22:18.075793,delta,random,43,6.215109588864271,0.0888221263885498,"(7.532433950066536, 6.215162933670156)","(1.7218281198974896, 7.239769445066004)",True
2026-02-14T11:22:18.195305,delta,random,43,3.075783276254829,0.10803508758544922,"(4.418113176091229, 6.75918310061485)","(7.379915870184324, 6.631690231513135)",True
2026-02-14T11:22:18.356963,delta,random,43,2.1838145580428727,0.15022969245910645,"(3.877491916829012, 1.026082732608586)","(5.959657004257837, 0.8449376512206612)",True
2026-02-14T11:22:18.572996,delta,random,43,6.523846733684879,0.20464253425598145,"(7.754044030648447, 5.607805515466435)","(3.309484277866691, 0.9660173641262997)",True
2026-02-14T11:22:18.770835,delta,random,43,2.9488005887316144,0.1865248680114746,"(4.673126645708694, 5.828832401668412)","(2.3375803542080655, 4.182380930617949)",True
2026-02-14T11:22:18.980964,delta,random,43,5.479554663112121,0.19881248474121094,"(6.518815090004941, 4.770615841414926)","(3.0284427156125586, 0.6204624439597675)",True
2026-02-14T11:22:19.128325,delta,random,43,5.458478033544941,0.13587665557861328,"(1.7159825627753156, 0.7572551537154899)","(6.703444229357736, 2.8408997632061155)",True
2026-02-14T11:22:19.324986,delta,random,43,6.2982108823176395,0.18528318405151367,"(3.836040171525343, 1.2730999724318508)","(2.954282456344428, 7.476479870962198)",True
2026-02-14T11:22:19.446817,delta,random,43,3.4373890542299135,0.1103219985961914,"(0.6531290898011815, 3.631696916911057)","(3.88812419247897, 2.5703327074721054)",True
2026-02-14T11:22:19.535488,delta,random,43,5.605778676028775,0.07743263244628906,"(3.5617048010579513, 0.35796556353461906)","(3.5764889879793067, 5.68139839837645)",True
2026-02-14T11:22:19.740417,delta,random,43,7.140049556247961,0.19347238540649414,"(7.775350878773539, 5.2957699270866865)","(0.7316016188613057, 4.7178480816770225)",True
2026-02-14T11:22:19.899429,delta,random,43,2.6001942266362947,0.14750146865844727,"(1.6926480512501403, 6.360605079996508)","(2.80244785782282, 4.019491821145251)",True
2026-02-14T11:22:20.016218,delta,random,43,-1,0.10561633110046387,"(0.706990556893647, 7.707912990236645)","(6.8038855204266575, 3.949541940227153)",False
2026-02-14T11:22:20.192199,delta,random,43,2.4517461252526913,0.1757819652557373,"(3.748932465020677, 4.471622448804825)","(5.5406111798834, 2.837878814372899)",True
2026-02-14T11:22:20.350530,delta,random,43,3.0864482090758085,0.14698529243469238,"(1.3877068781185864, 0.3693444616685664)","(2.6143176401982595, 2.846355410499939)",True
2026-02-14T11:22:20.520424,delta,random,43,4.410740148603442,0.15858983993530273,"(3.835097680734359, 5.27182499842307)","(0.6875376940004951, 2.371564894812753)",True
2026-02-14T11:22:20.646593,delta,random,43,2.7923802203519825,0.11496853828430176,"(4.617250955432866, 5.454417091321544)","(7.02088078048634, 4.3132574870680624)",True
2026-02-14T11:22:20.840148,delta,random,43,2.7379712331948207,0.18212628364562988,"(4.2039462653361435, 4.353810205671078)","(4.131351822235061, 7.090818876189253)",True
2026-02-14T11:22:20.998207,delta,random,43,3.827325449207196,0.14667868614196777,"(3.2815551885320504, 6.556174455237732)","(6.657736034903695, 4.753447933119436)",True
2026-02-14T11:22:21.132339,delta,random,43,5.502875099052992,0.12288951873779297,"(1.5873334298858381, 6.202434232899518)","(4.6491993458328755, 2.0157875907855987)",True
2026-02-14T11:22:21.241902,delta,random,43,6.565546449709398,0.09839439392089844,"(2.113375499072629, 0.3521060382910566)","(7.174566934440072, 4.459588270595293)",True
2026-02-14T11:22:21.425492,delta,random,43,3.2998555546089,0.1723320484161377,"(5.624086242123887, 5.7180445593967315)","(3.5682572530065864, 3.4005532183715657)",True
2026-02-14T11:22:21.573809,delta,random,43,4.157160630214246,0.13692784309387207,"(7.263261476034423, 3.259428277267533)","(3.4941150867829025, 4.988523036524824)",True
2026-02-14T11:22:21.856187,delta,random,43,4.530705633952084,0.2709670066833496,"(1.315337283776497, 4.450412790693904)","(4.296359233308489, 7.774477564536649)",True
2026-02-14T11:22:21.990366,delta,random,43,4.144673092070542,0.12297582626342773,"(4.252860511816523, 5.33976787756214)","(0.5618303915639542, 3.550789398270802)",True
2026-02-14T11:22:22.156221,delta,random,43,6.012801660327559,0.15462040901184082,"(6.346515974067644, 1.123845028659038)","(6.487218793170244, 7.014642261186272)",True
2026-02-14T11:22:22.271513,delta,random,43,2.4156366913587326,0.10400605201721191,"(6.478508722789988, 7.4237045094056935)","(4.664564252531491, 6.268010806313329)",True
2026-02-14T11:22:22.495167,delta,random,43,2.4882885399287624,0.2124190330505371,"(4.03743212723629, 4.629568198938649)","(1.8852291779356447, 3.425224801777752)",True
2026-02-14T11:22:22.704959,delta,random,43,5.68656870099205,0.18933868408203125,"(5.200792498802549, 2.2595267542663224)","(3.5080264102563987, 7.559220757023179)",True
2026-02-14T11:22:22.888590,delta,random,43,2.9532103089604202,0.17215800285339355,"(6.3586231477160275, 0.8224011256056274)","(4.228192569439472, 2.6272055434088557)",True
2026-02-14T11:22:22.983841,delta,random,43,-1,0.07655715942382812,"(0.612872219295614, 7.157792631299473)","(5.641762812469085, 3.3713049617692157)",False
2026-02-14T11:22:23.111534,delta,random,43,7.254575485074778,0.12749505043029785,"(6.106394883782844, 6.380465582065438)","(2.4638335887412524, 0.34738923533818866)",True
2026-02-14T11:22:23.282672,delta,random,43,7.304954633924337,0.1597445011138916,"(5.779085049152708, 5.209969636396184)","(0.5239337835918167, 0.4162067502687199)",True
2026-02-14T11:22:23.469379,delta,random,43,3.9375092278402324,0.17541980743408203,"(3.918913726252466, 6.44754464082783)","(7.54328378151388, 5.246110091700741)",True
2026-02-14T11:22:23.631266,delta,random,43,7.023633321081836,0.15071964263916016,"(3.4675762773701067, 7.6914026556060335)","(6.038600995526685, 1.313097552792101)",True
2026-02-14T11:22:23.724611,delta,random,43,4.935232527591546,0.0821223258972168,"(1.148632134868909, 5.244106285749646)","(5.728083900781076, 6.157925993249614)",True
2026-02-14T11:22:23.902002,delta,random,43,4.69243809108616,0.16622257232666016,"(1.3033270341255143, 3.9099841061859975)","(4.889260038607923, 1.5148520628284938)",True
2026-02-14T11:22:24.077695,delta,random,43,3.601508016098745,0.16448974609375,"(2.3054609616941404, 0.7516748892262815)","(5.446735602258231, 2.0161759193448203)",True
2026-02-14T11:22:24.197621,delta,random,43,7.023203099899328,0.10891342163085938,"(7.052479164090498, 5.771797115153285)","(1.0807486502181405, 2.3826512076919224)",True
2026-02-14T11:22:24.424327,delta,random,43,5.4488824492258745,0.2153933048248291,"(2.911600123638804, 3.2752787574981106)","(7.481827184619578, 0.403621620465902)",True
2026-02-14T11:22:24.573905,delta,random,43,2.951356365230981,0.1382601261138916,"(6.47189754896676, 5.002890417335281)","(6.551833621239051, 2.097836286828292)",True
2026-02-14T11:22:24.702964,delta,random,43,4.5427937750796,0.11780738830566406,"(0.6429005023707095, 1.3544726141642984)","(1.390800801600525, 5.548473514873251)",True
2026-02-14T11:22:24.874468,delta,random,43,7.678963916297313,0.1602475643157959,"(5.359763718282426, 0.25395961179147264)","(4.5107771161219805, 7.441129509360152)",True
2026-02-14T11:22:24.963328,delta,random,43,5.608915799024944,0.0776522159576416,"(1.514032225905952, 5.317145699899626)","(6.596457654828797, 6.061207412974459)",True
2026-02-14T11:22:25.158665,delta,random,43,5.381982527250787,0.1839909553527832,"(3.3557607828626788, 1.9493149372421739)","(4.552881946518565, 7.185246702832509)",True
2026-02-14T11:22:25.260730,delta,random,43,5.9128611408268315,0.09074139595031738,"(1.3122527022709676, 6.741377031432235)","(6.224830635250935, 4.502400125308226)",True
2026-02-14T11:22:25.465476,delta,random,43,4.95043076383798,0.1934058666229248,"(6.8181274331955715, 1.284510731703869)","(2.6300896809831418, 3.9114714724088078)",True
2026-02-14T11:22:25.627757,delta,random,43,5.557581544410969,0.15097475051879883,"(3.1593747592168766, 0.8054161659021286)","(2.538579608950199, 6.214717229067375)",True
2026-02-14T11:22:25.746880,delta,random,43,1.815006633495289,0.10784626007080078,"(2.7224924883191797, 6.510902748392758)","(0.9384650421416412, 6.176994176056496)",True
2026-02-14T11:22:25.904116,delta,random,43,3.6491977652600154,0.14588093757629395,"(4.736966513971178, 2.4605594662648462)","(5.151257271902291, 5.728349438012587)",True
2026-02-14T11:22:26.089090,delta,random,43,7.305886159472826,0.17360687255859375,"(7.678913556865159, 6.448953937860893)","(0.9594452472900281, 4.1587939122098225)",True
2026-02-14T11:22:26.289783,delta,random,43,2.476903399310608,0.18946313858032227,"(3.579745281976127, 1.552195898164359)","(3.243573815360472, 4.00618022418108)",True
2026-02-14T11:22:26.469873,delta,random,43,2.1780665243448105,0.16881275177001953,"(3.930604685298638, 4.453283099805096)","(4.049805699258209, 6.628085363729445)",True
2026-02-14T11:22:26.550566,delta,random,43,-1,0.06929564476013184,"(0.42756376127484064, 7.643359416400532)","(0.9258470215782211, 0.2894862075750151)",False
